"Animal Name"	"Hair"	"Feathers"	"Eggs"	"Milk"	"Airborne"	"Aquatic"	"Predator"	"Toothed"	"Backbone"	"Breathes"	"Venomous"	"Fins"	"Legs"	"Tails"	"Domestic"	"Catsize"	"Type"
"1"	"aardvark"	"Yes"	"No"	"No"	"Yes"	"No"	"No"	"Yes"	"Yes"	NA	"Yes"	"No"	"No"	4	"No"	NA	"Yes"	1
"2"	"antelope"	"Yes"	"No"	"No"	"Yes"	"No"	"No"	"No"	"Yes"	NA	"Yes"	"No"	"No"	4	"Yes"	NA	"Yes"	1
"3"	"bass"	"No"	"No"	"Yes"	"No"	"No"	"Yes"	"Yes"	"Yes"	NA	"No"	"No"	"Yes"	0	"Yes"	NA	"No"	4
"4"	"bear"	"Yes"	"No"	"No"	"Yes"	"No"	"No"	"Yes"	"Yes"	NA	"Yes"	"No"	"No"	4	"No"	NA	"Yes"	1
"5"	"boar"	"Yes"	"No"	"No"	"Yes"	"No"	"No"	"Yes"	"Yes"	NA	"Yes"	"No"	"No"	4	"Yes"	NA	"Yes"	1
"6"	"buffalo"	"Yes"	"No"	"No"	"Yes"	"No"	"No"	"No"	"Yes"	NA	"Yes"	"No"	"No"	4	"Yes"	NA	"Yes"	1
"7"	"calf"	"Yes"	"No"	"No"	"Yes"	"No"	"No"	"No"	"Yes"	NA	"Yes"	"No"	"No"	4	"Yes"	NA	"Yes"	1
"8"	"carp"	"No"	"No"	"Yes"	"No"	"No"	"Yes"	"No"	"Yes"	NA	"No"	"No"	"Yes"	0	"Yes"	NA	"No"	4
"9"	"catfish"	"No"	"No"	"Yes"	"No"	"No"	"Yes"	"Yes"	"Yes"	NA	"No"	"No"	"Yes"	0	"Yes"	NA	"No"	4
"10"	"cavy"	"Yes"	"No"	"No"	"Yes"	"No"	"No"	"No"	"Yes"	NA	"Yes"	"No"	"No"	4	"No"	NA	"No"	1
"11"	"cheetah"	"Yes"	"No"	"No"	"Yes"	"No"	"No"	"Yes"	"Yes"	NA	"Yes"	"No"	"No"	4	"Yes"	NA	"Yes"	1
"12"	"chicken"	"No"	"Yes"	"Yes"	"No"	"Yes"	"No"	"No"	"No"	NA	"Yes"	"No"	"No"	2	"Yes"	NA	"No"	2
"13"	"chub"	"No"	"No"	"Yes"	"No"	"No"	"Yes"	"Yes"	"Yes"	NA	"No"	"No"	"Yes"	0	"Yes"	NA	"No"	4
